01:53	|R 2697	|V 35.9	|I 40.6	|W 1458	|TH 88%	|B 41%	|Wh 39	|T 34.4	|Pa 1298W	|Pi 34	
01:54	|R 2714	|V 35.9	|I 38.9	|W 1395	|TH 88%	|B 41%	|Wh 40	|T 34.6	|Pa 1299W	|Pi 34	
01:55	|R 2785	|V 35.9	|I 38.6	|W 1385	|TH 89%	|B 41%	|Wh 40	|T 34.6	|Pa 1300W	|Pi 34	
01:56	|R 2826	|V 35.9	|I 39.4	|W 1413	|TH 89%	|B 51%	|Wh 40	|T 34.7	|Pa 1301W	|Pi 34	
01:57	|R 2840	|V 35.7	|I 39.2	|W 1400	|TH 90%	|B 51%	|Wh 41	|T 34.7	|Pa 1302W	|Pi 34	
01:58	|R 2235	|V 38.5	|I 35.4	|W 1362	|TH 0%	|B 51%	|Wh 44	|T 34.9	|Pa 1302W	|Pi 34	
01:59	|R 382	|V 38.7	|I 0.0	|W 0	|TH 0%	|B 51%	|Wh 44	|T 34.9	|Pa 1302W	|Pi 34	
02:00	|R 2	|V 38.9	|I 0.0	|W 0	|TH 0%	|B 51%	|Wh 45	|T 34.6	|Pa 1302W	|Pi 34	
02:01	|R 1	|V 39.0	|I 0.0	|W 0	|TH 0%	|B 51%	|Wh 45	|T 34.6	|Pa 1302W	|Pi 34	
02:02	|R 18	|V 39.1	|I 0.0	|W 0	|TH 22%	|B 51%	|Wh 45	|T 34.6	|Pa 1302W	|Pi 34	
02:03	|R 2723	|V 38.4	|I 24.4	|W 935	|TH 63%	|B 51%	|Wh 44	|T 34.5	|Pa 1299W	|Pi 34	
02:04	|R 2570	|V 37.5	|I 20.0	|W 751	|TH 77%	|B 51%	|Wh 43	|T 34.6	|Pa 1295W	|Pi 34	
02:05	|R 2459	|V 36.8	|I 22.0	|W 810	|TH 79%	|B 51%	|Wh 43	|T 34.6	|Pa 1290W	|Pi 35	
02:06	|R 2552	|V 36.4	|I 38.2	|W 1389	|TH 82%	|B 51%	|Wh 43	|T 34.8	|Pa 1291W	|Pi 35	
02:07	|R 2632	|V 36.3	|I 41.4	|W 1502	|TH 83%	|B 58%	|Wh 43	|T 34.9	|Pa 1293W	|Pi 34	
02:08	|R 2631	|V 36.3	|I 40.4	|W 1465	|TH 83%	|B 58%	|Wh 43	|T 35.0	|Pa 1294W	|Pi 34	
02:09	|R 2661	|V 36.3	|I 38.9	|W 1412	|TH 83%	|B 58%	|Wh 44	|T 35.1	|Pa 1295W	|Pi 34	
02:10	|R 2658	|V 36.5	|I 36.2	|W 1323	|TH 83%	|B 58%	|Wh 44	|T 35.2	|Pa 1296W	|Pi 34	
