00:01	|R 1600	|V 39.4	|I 12.0	|W 473	|TH 55%	|B 93%	|Wh 0	|T 24.4	|Pa 265W	|Pi 99	|ESP fails	
01:50	|R 1	|V 39.1	|I 0.0	|W 0	|TH 0%	|B 48%	|Wh 37	|T 33.7	|Pa 1133W	|Pi 48	
01:51	|R 1543	|V 39.1	|I 0.1	|W 3	|TH 48%	|B 48%	|Wh 37	|T 33.7	|Pa 1133W	|Pi 48	
01:52	|R 2270	|V 37.4	|I 11.8	|W 442	|TH 71%	|B 48%	|Wh 36	|T 33.6	|Pa 1127W	|Pi 48	
01:53	|R 2115	|V 37.8	|I 24.4	|W 921	|TH 71%	|B 48%	|Wh 36	|T 33.7	|Pa 1125W	|Pi 48	
01:54	|R 2399	|V 37.0	|I 29.0	|W 1074	|TH 75%	|B 48%	|Wh 36	|T 33.8	|Pa 1125W	|Pi 48	
01:55	|R 2280	|V 37.8	|I 24.5	|W 924	|TH 71%	|B 48%	|Wh 37	|T 34.0	|Pa 1123W	|Pi 49	
01:56	|R 2283	|V 37.5	|I 23.8	|W 891	|TH 69%	|B 62%	|Wh 37	|T 34.0	|Pa 1121W	|Pi 49	
01:57	|R 2379	|V 37.3	|I 25.0	|W 931	|TH 72%	|B 62%	|Wh 37	|T 34.0	|Pa 1119W	|Pi 49	
01:58	|R 2313	|V 37.4	|I 23.4	|W 874	|TH 75%	|B 62%	|Wh 37	|T 34.2	|Pa 1117W	|Pi 49	
01:59	|R 2527	|V 36.7	|I 30.3	|W 1113	|TH 80%	|B 62%	|Wh 37	|T 34.2	|Pa 1117W	|Pi 49	
02:00	|R 2589	|V 36.6	|I 38.3	|W 1400	|TH 80%	|B 62%	|Wh 37	|T 34.3	|Pa 1119W	|Pi 49	
02:01	|R 2699	|V 36.4	|I 36.5	|W 1327	|TH 83%	|B 62%	|Wh 37	|T 34.5	|Pa 1121W	|Pi 49	
02:02	|R 2663	|V 36.3	|I 38.4	|W 1393	|TH 85%	|B 62%	|Wh 37	|T 34.6	|Pa 1123W	|Pi 49	
02:03	|R 2883	|V 37.0	|I 33.2	|W 1229	|TH 80%	|B 62%	|Wh 39	|T 34.6	|Pa 1124W	|Pi 48	
02:04	|R 2825	|V 38.7	|I 26.4	|W 1023	|TH 0%	|B 62%	|Wh 41	|T 34.7	|Pa 1123W	|Pi 49	
02:05	|R 485	|V 38.9	|I 0.0	|W 0	|TH 0%	|B 62%	|Wh 41	|T 34.7	|Pa 1123W	|Pi 49	
02:06	|R 3	|V 39.0	|I 0.0	|W 0	|TH 0%	|B 62%	|Wh 41	|T 34.4	|Pa 1123W	|Pi 49	
02:07	|R 1	|V 39.1	|I 0.0	|W 0	|TH 0%	|B 56%	|Wh 41	|T 34.3	|Pa 1123W	|Pi 49	
02:08	|R 0	|V 39.2	|I 0.0	|W 0	|TH 0%	|B 56%	|Wh 41	|T 34.2	|Pa 1123W	|Pi 49	
02:09	|R 0	|V 39.2	|I 0.0	|W 0	|TH 0%	|B 56%	|Wh 41	|T 34.1	|Pa 1123W	|Pi 49	
02:10	|R 0	|V 39.3	|I 0.0	|W 0	|TH 0%	|B 56%	|Wh 41	|T 34.0	|Pa 1123W	|Pi 49	
02:11	|R 2243	|V 37.5	|I 4.0	|W 148	|TH 71%	|B 56%	|Wh 39	|T 34.0	|Pa 1116W	|Pi 49	
02:12	|R 2073	|V 37.9	|I 19.2	|W 728	|TH 66%	|B 56%	|Wh 40	|T 34.2	|Pa 1112W	|Pi 49	
02:13	|R 2291	|V 37.3	|I 23.3	|W 867	|TH 73%	|B 56%	|Wh 40	|T 34.4	|Pa 1110W	|Pi 50	
02:14	|R 2273	|V 37.4	|I 30.7	|W 1148	|TH 71%	|B 56%	|Wh 40	|T 34.5	|Pa 1111W	|Pi 50	
02:15	|R 2221	|V 37.7	|I 22.0	|W 830	|TH 71%	|B 56%	|Wh 41	|T 34.6	|Pa 1109W	|Pi 50	
