01:36	|R 2559	|V 36.2	|I 38.7	|W 1399	|TH 82%	|B 48%	|Wh 34	|T 35.4	|Pa 1285W	|Pi 35	
01:37	|R 2569	|V 36.2	|I 38.8	|W 1403	|TH 82%	|B 48%	|Wh 34	|T 35.4	|Pa 1286W	|Pi 35	
01:38	|R 2564	|V 36.1	|I 38.2	|W 1377	|TH 82%	|B 48%	|Wh 35	|T 35.5	|Pa 1287W	|Pi 35	
01:39	|R 2603	|V 36.2	|I 36.8	|W 1332	|TH 82%	|B 48%	|Wh 35	|T 35.6	|Pa 1287W	|Pi 35	
01:40	|R 2492	|V 36.4	|I 37.0	|W 1345	|TH 79%	|B 43%	|Wh 36	|T 35.6	|Pa 1288W	|Pi 35	
01:41	|R 2673	|V 35.9	|I 37.1	|W 1331	|TH 85%	|B 43%	|Wh 36	|T 35.7	|Pa 1288W	|Pi 35	
01:42	|R 2676	|V 35.9	|I 39.7	|W 1423	|TH 85%	|B 43%	|Wh 36	|T 35.8	|Pa 1290W	|Pi 35	
01:43	|R 2622	|V 36.1	|I 37.1	|W 1338	|TH 82%	|B 43%	|Wh 37	|T 35.9	|Pa 1290W	|Pi 35	
01:44	|R 2675	|V 36.0	|I 26.7	|W 961	|TH 88%	|B 43%	|Wh 37	|T 35.9	|Pa 1287W	|Pi 35	
01:45	|R 2676	|V 35.9	|I 41.1	|W 1474	|TH 85%	|B 43%	|Wh 37	|T 35.8	|Pa 1289W	|Pi 35	
01:46	|R 2669	|V 35.8	|I 39.9	|W 1426	|TH 85%	|B 43%	|Wh 37	|T 36.0	|Pa 1290W	|Pi 35	
01:47	|R 2682	|V 35.6	|I 40.0	|W 1425	|TH 86%	|B 43%	|Wh 38	|T 36.1	|Pa 1291W	|Pi 35	
01:48	|R 2701	|V 35.7	|I 39.3	|W 1403	|TH 88%	|B 43%	|Wh 38	|T 36.1	|Pa 1292W	|Pi 34	
01:49	|R 2712	|V 35.7	|I 38.8	|W 1384	|TH 88%	|B 43%	|Wh 38	|T 36.2	|Pa 1293W	|Pi 34	
01:50	|R 2690	|V 35.6	|I 38.8	|W 1383	|TH 88%	|B 43%	|Wh 39	|T 36.2	|Pa 1294W	|Pi 34	
01:51	|R 2756	|V 35.7	|I 38.6	|W 1377	|TH 89%	|B 39%	|Wh 39	|T 36.3	|Pa 1295W	|Pi 34	
01:52	|R 2770	|V 35.3	|I 40.3	|W 1422	|TH 90%	|B 39%	|Wh 39	|T 36.3	|Pa 1296W	|Pi 34	
01:53	|R 2745	|V 35.3	|I 41.5	|W 1466	|TH 90%	|B 39%	|Wh 40	|T 36.4	|Pa 1297W	|Pi 34	
01:54	|R 2776	|V 35.3	|I 41.3	|W 1456	|TH 90%	|B 39%	|Wh 40	|T 36.5	|Pa 1299W	|Pi 34	
01:55	|R 2750	|V 35.2	|I 41.2	|W 1452	|TH 90%	|B 39%	|Wh 40	|T 36.5	|Pa 1300W	|Pi 34	
01:56	|R 3472	|V 38.1	|I 30.8	|W 1173	|TH 35%	|B 39%	|Wh 44	|T 36.6	|Pa 1299W	|Pi 34	
01:57	|R 1103	|V 38.3	|I 0.1	|W 3	|TH 71%	|B 39%	|Wh 44	|T 36.5	|Pa 1299W	|Pi 34	
01:58	|R 2643	|V 37.7	|I 18.0	|W 677	|TH 68%	|B 39%	|Wh 44	|T 36.4	|Pa 1294W	|Pi 34	
01:59	|R 2243	|V 36.9	|I 17.8	|W 654	|TH 72%	|B 39%	|Wh 43	|T 36.5	|Pa 1288W	|Pi 35	
02:00	|R 2390	|V 36.4	|I 28.0	|W 1019	|TH 77%	|B 39%	|Wh 43	|T 36.5	|Pa 1286W	|Pi 35	
02:01	|R 2468	|V 36.3	|I 35.6	|W 1293	|TH 79%	|B 39%	|Wh 43	|T 36.6	|Pa 1286W	|Pi 35	
02:02	|R 2605	|V 35.9	|I 35.8	|W 1286	|TH 82%	|B 45%	|Wh 43	|T 36.6	|Pa 1286W	|Pi 35	
02:03	|R 2529	|V 36.4	|I 33.7	|W 1227	|TH 79%	|B 45%	|Wh 44	|T 36.7	|Pa 1285W	|Pi 35	
02:04	|R 2629	|V 36.1	|I 35.7	|W 1289	|TH 85%	|B 45%	|Wh 44	|T 36.7	|Pa 1285W	|Pi 35	
02:05	|R 2820	|V 36.8	|I 32.2	|W 1184	|TH 80%	|B 45%	|Wh 45	|T 36.7	|Pa 1285W	|Pi 35	
02:06	|R 2618	|V 36.1	|I 33.1	|W 1193	|TH 82%	|B 45%	|Wh 44	|T 36.7	|Pa 1284W	|Pi 35	
02:07	|R 2492	|V 36.5	|I 30.1	|W 1100	|TH 78%	|B 45%	|Wh 45	|T 36.8	|Pa 1282W	|Pi 35	
02:08	|R 2672	|V 36.3	|I 31.3	|W 1135	|TH 80%	|B 45%	|Wh 45	|T 36.8	|Pa 1281W	|Pi 35	
02:09	|R 2618	|V 36.6	|I 30.8	|W 1125	|TH 77%	|B 45%	|Wh 46	|T 36.9	|Pa 1280W	|Pi 35	
02:10	|R 2662	|V 37.1	|I 23.3	|W 865	|TH 77%	|B 45%	|Wh 47	|T 36.9	|Pa 1277W	|Pi 36	
02:11	|R 2430	|V 37.0	|I 22.1	|W 816	|TH 75%	|B 45%	|Wh 47	|T 36.8	|Pa 1273W	|Pi 36	
02:12	|R 2955	|V 37.1	|I 24.4	|W 906	|TH 82%	|B 45%	|Wh 47	|T 36.9	|Pa 1270W	|Pi 36	
02:13	|R 2927	|V 36.6	|I 36.2	|W 1326	|TH 83%	|B 47%	|Wh 47	|T 36.8	|Pa 1271W	|Pi 36	
02:14	|R 2598	|V 35.6	|I 32.4	|W 1152	|TH 85%	|B 47%	|Wh 46	|T 36.8	|Pa 1270W	|Pi 36	
02:15	|R 2660	|V 35.7	|I 40.5	|W 1444	|TH 88%	|B 47%	|Wh 46	|T 36.8	|Pa 1271W	|Pi 36	
02:16	|R 2648	|V 35.7	|I 39.3	|W 1402	|TH 85%	|B 47%	|Wh 47	|T 36.9	|Pa 1272W	|Pi 36	
02:17	|R 2630	|V 36.5	|I 36.8	|W 1343	|TH 71%	|B 47%	|Wh 48	|T 37.0	|Pa 1273W	|Pi 36	
02:18	|R 917	|V 38.3	|I 2.8	|W 108	|TH 0%	|B 47%	|Wh 51	|T 37.1	|Pa 1264W	|Pi 37	
02:19	|R 3	|V 38.4	|I 0.0	|W 0	|TH 0%	|B 47%	|Wh 51	|T 36.8	|Pa 1264W	|Pi 37	
02:20	|R 1	|V 38.5	|I 0.0	|W 0	|TH 59%	|B 47%	|Wh 51	|T 36.7	|Pa 1264W	|Pi 37	
02:21	|R 2845	|V 37.4	|I 28.5	|W 1066	|TH 72%	|B 47%	|Wh 50	|T 36.7	|Pa 1263W	|Pi 37	
02:22	|R 2477	|V 36.0	|I 20.3	|W 731	|TH 79%	|B 47%	|Wh 48	|T 36.8	|Pa 1259W	|Pi 37	
02:23	|R 2501	|V 36.2	|I 39.8	|W 1440	|TH 80%	|B 47%	|Wh 49	|T 36.9	|Pa 1260W	|Pi 37	
02:24	|R 2546	|V 36.0	|I 38.3	|W 1378	|TH 80%	|B 48%	|Wh 49	|T 37.0	|Pa 1261W	|Pi 37	
02:25	|R 2821	|V 36.4	|I 37.7	|W 1372	|TH 83%	|B 48%	|Wh 50	|T 37.1	|Pa 1262W	|Pi 37	
02:26	|R 2665	|V 35.8	|I 32.8	|W 1175	|TH 85%	|B 48%	|Wh 49	|T 37.2	|Pa 1261W	|Pi 37	
02:27	|R 2813	|V 37.2	|I 35.7	|W 1327	|TH 78%	|B 48%	|Wh 52	|T 37.3	|Pa 1262W	|Pi 37	
02:28	|R 2685	|V 35.9	|I 26.1	|W 936	|TH 83%	|B 48%	|Wh 50	|T 37.3	|Pa 1259W	|Pi 37	
02:29	|R 2560	|V 36.2	|I 36.5	|W 1320	|TH 80%	|B 48%	|Wh 51	|T 37.4	|Pa 1260W	|Pi 37	
02:30	|R 2593	|V 36.3	|I 27.0	|W 981	|TH 80%	|B 48%	|Wh 51	|T 37.5	|Pa 1258W	|Pi 37	
02:31	|R 2613	|V 36.1	|I 34.8	|W 1257	|TH 82%	|B 48%	|Wh 51	|T 37.5	|Pa 1258W	|Pi 37	
02:32	|R 2679	|V 36.0	|I 30.3	|W 1089	|TH 86%	|B 48%	|Wh 51	|T 37.5	|Pa 1257W	|Pi 37	
02:33	|R 2685	|V 35.8	|I 35.3	|W 1265	|TH 85%	|B 48%	|Wh 52	|T 37.6	|Pa 1257W	|Pi 37	
02:34	|R 2759	|V 35.8	|I 29.9	|W 1068	|TH 86%	|B 48%	|Wh 52	|T 37.6	|Pa 1256W	|Pi 37	
02:35	|R 2774	|V 35.8	|I 36.4	|W 1302	|TH 88%	|B 42%	|Wh 52	|T 37.8	|Pa 1256W	|Pi 37	
02:36	|R 2783	|V 35.8	|I 35.8	|W 1281	|TH 89%	|B 42%	|Wh 53	|T 37.8	|Pa 1256W	|Pi 37	
02:37	|R 2826	|V 38.0	|I 27.7	|W 1052	|TH 0%	|B 42%	|Wh 56	|T 37.9	|Pa 1255W	|Pi 38	
02:38	|R 664	|V 38.2	|I 0.0	|W 0	|TH 0%	|B 42%	|Wh 56	|T 37.9	|Pa 1255W	|Pi 38	
02:39	|R 3	|V 38.3	|I 0.0	|W 0	|TH 0%	|B 42%	|Wh 56	|T 37.6	|Pa 1255W	|Pi 38	
02:40	|R 1	|V 38.4	|I 0.0	|W 0	|TH 16%	|B 42%	|Wh 57	|T 37.6	|Pa 1255W	|Pi 38	
02:41	|R 2002	|V 37.9	|I 4.0	|W 150	|TH 58%	|B 42%	|Wh 56	|T 37.5	|Pa 1248W	|Pi 38	
02:42	|R 2993	|V 37.8	|I 27.1	|W 1022	|TH 75%	|B 42%	|Wh 56	|T 37.6	|Pa 1246W	|Pi 38	
02:43	|R 3320	|V 38.2	|I 16.8	|W 639	|TH 75%	|B 42%	|Wh 57	|T 37.7	|Pa 1242W	|Pi 39	
02:44	|R 2977	|V 37.7	|I 18.4	|W 691	|TH 75%	|B 42%	|Wh 56	|T 37.7	|Pa 1239W	|Pi 39	
02:45	|R 2362	|V 36.5	|I 25.3	|W 924	|TH 77%	|B 42%	|Wh 55	|T 37.8	|Pa 1237W	|Pi 39	
02:46	|R 2459	|V 36.8	|I 20.7	|W 760	|TH 77%	|B 57%	|Wh 55	|T 37.9	|Pa 1234W	|Pi 39	
02:47	|R 2430	|V 36.4	|I 29.5	|W 1073	|TH 77%	|B 57%	|Wh 55	|T 37.9	|Pa 1233W	|Pi 39	
02:48	|R 2532	|V 36.0	|I 35.2	|W 1265	|TH 82%	|B 57%	|Wh 55	|T 38.0	|Pa 1233W	|Pi 39	
02:49	|R 2528	|V 35.9	|I 39.3	|W 1409	|TH 82%	|B 57%	|Wh 55	|T 38.3	|Pa 1234W	|Pi 39	
02:50	|R 2594	|V 35.8	|I 38.7	|W 1384	|TH 82%	|B 57%	|Wh 55	|T 38.3	|Pa 1235W	|Pi 39	
02:51	|R 2594	|V 35.8	|I 38.5	|W 1376	|TH 82%	|B 57%	|Wh 56	|T 38.4	|Pa 1236W	|Pi 39	
02:52	|R 2586	|V 36.0	|I 37.2	|W 1338	|TH 82%	|B 57%	|Wh 56	|T 38.5	|Pa 1237W	|Pi 39	
02:53	|R 2622	|V 35.6	|I 37.4	|W 1331	|TH 85%	|B 57%	|Wh 56	|T 38.6	|Pa 1237W	|Pi 39	
02:54	|R 2652	|V 35.9	|I 27.1	|W 972	|TH 85%	|B 57%	|Wh 57	|T 38.7	|Pa 1235W	|Pi 39	
02:55	|R 2619	|V 36.0	|I 27.9	|W 1005	|TH 83%	|B 57%	|Wh 57	|T 38.7	|Pa 1234W	|Pi 39	
02:56	|R 2638	|V 35.6	|I 39.0	|W 1386	|TH 85%	|B 57%	|Wh 57	|T 38.8	|Pa 1235W	|Pi 39	
02:57	|R 2698	|V 35.5	|I 39.2	|W 1391	|TH 86%	|B 39%	|Wh 57	|T 38.9	|Pa 1236W	|Pi 39	
02:58	|R 2690	|V 35.4	|I 38.5	|W 1362	|TH 88%	|B 39%	|Wh 58	|T 39.1	|Pa 1237W	|Pi 39	
02:59	|R 2721	|V 35.3	|I 38.3	|W 1351	|TH 89%	|B 39%	|Wh 58	|T 39.0	|Pa 1237W	|Pi 39	
03:00	|R 2744	|V 35.3	|I 38.6	|W 1361	|TH 89%	|B 39%	|Wh 58	|T 39.2	|Pa 1238W	|Pi 39	
